distance_A,CASCI_Energy_Ha,DFT_Energy_Ha,HF_Energy_Ha,AVQE_Energy_Ha,Numpy_Energy_Ha,IBMQ_Montreal_Energy_Ha,DFT_Energy_HA,RYRZ_Eneregy_HA,UCCSD_Energy_Ha
0.3,-1748.1705914637737,-1748.561985372442,-1748.0005518151252,-1747.9942210191489,-1748.4483048097222,-231.4625472004449,-1749.9714125368037,-1747.7322658017042,-1748.0001606774695
0.6,-1815.0907039296726,-1815.493234501602,-1814.9554836833092,-1814.9272867277334,-1815.6879813446901,-266.8191919411193,-1817.0857114629714,-1815.0033462308058,-1814.9323968065248
0.8999999999999999,-1823.2576378690665,-1823.6186107728354,-1823.1282677700983,-1823.0915385800604,-1823.7406875512438,-272.33446153731563,-1825.2539443437777,-1822.8762702174795,-1823.0921270286003
1.2,-1825.0882359019538,-1825.3917273689956,-1824.9922917548254,-1824.9182307648755,-1825.4098635077296,-274.0642070953662,-1827.015534882389,-1825.3316887768149,-1824.9191274108427
1.5,-1825.5235061721269,-1825.7736825864818,-1825.4479562912275,-1825.3775394901722,-1825.9474015215328,-273.73619124628453,-1827.390981951937,-1825.9473999329987,-1825.3777413233795
1.8,-1825.5380700812577,-1825.5143311942911,-1825.5243491896047,-1825.4475357141935,-1826.1016033994122,-274.24814025928885,-1827.4494823654172,-1826.0944015142252,-1825.4705552507999
2.0999999999999996,-1825.537761846207,-1825.5147541387598,-1825.514754139343,-1825.4327570738346,-1826.1427879788646,-274.4410569201074,-1827.4430889539983,-1826.1309188082034,-1825.4415366929368
2.4,-1825.401101560887,-1825.3592052542826,-1825.3331065847697,-1825.4092929426924,-1826.1590159607367,-274.1570310065679,-1803.9756536750629,-1826.1590040331544,-1825.410151340347
2.6999999999999997,-1825.4924107643992,-1825.4705587843555,-1825.336973877115,-1825.372046198568,-1826.1620024197555,-274.21547643309924,-1827.420581040445,-1826.1551150860207,-1825.3721290303858
2.9999999999999996,-1825.4797422481988,-1825.4580801716595,-1825.2238139522303,-1823.193357723379,-1825.961735439118,-274.38567236030013,-1827.41664773603,-1825.9528229762427,-1825.196336570264
3.3,-1825.4697325788084,-1825.4482108579787,-1825.2907865767165,-1825.3495212241064,-1826.1680526265375,-273.9248459855403,-1803.9712321525226,-1826.1550441306654,-1825.349527607311
3.5999999999999996,-1825.492739284725,-1825.3900543763943,-1825.38208491174,-1825.2949664261241,-1826.1400598190785,,-1827.418926705755,-1826.1397669601815,-1825.2950424223513
