distance_A,CASCI_Energy_Ha,DFT_Energy_Ha,HF_Energy_Ha,AVQE_Energy_Ha,Numpy_Energy_Ha,IBMQ_Montreal_Energy_Ha,DFT_Energy_HA,RYRZ_Eneregy_HA,UCCSD_Energy_Ha
0.3,-1678.907751471472,-1678.9286372670776,-1678.8186021310794,-1678.8261259246774,-1679.4831177833094,-231.4625472004449,-1680.4144879179485,-1679.0533608036812,-1678.8286157208045
0.6,-1737.5284711854913,-1737.5736823006448,-1737.4051140852619,-1737.398768454305,-1737.9066633894324,-266.8191919411193,-1739.1779224980603,-1737.3815056450442,-1737.4045143345134
0.8999999999999999,-1744.884649474216,-1744.8534713579647,-1744.6711830473496,-1744.6593893718914,-1745.10568052644,-272.33446153731563,-1746.5099041201574,-1744.6505143994807,-1744.685307949709
1.2,-1746.4358973648966,-1746.3491956194673,-1746.2439320408944,-1746.2221349663726,-1746.5937851958965,-274.0642070953662,-1748.019721450279,-1746.200358477716,-1746.2312309935903
1.5,-1746.8496302204371,-1746.7123030464313,-1746.6981024963325,-1746.6618731720323,-1747.242358882046,-273.73619124628453,-1748.369821303866,-1747.1842785830102,-1746.6620177961029
1.8,-1746.9332465267312,-1746.7783682579886,-1746.8012401406932,-1746.7738568474024,-1747.366513501842,-274.24814025928885,-1748.431742786795,-1745.630395852288,-1746.7739773557385
2.0999999999999996,-1746.9752400658206,-1746.8079867952872,-1746.807986795278,-1746.7702964549471,-1747.443698671267,-274.4410569201074,-1748.4273257721286,-1746.8041155908113,-1746.7705716422934
2.4,-1746.9611104123364,-1746.7929466225437,-1746.7929466242738,-1746.7475735824664,-1747.4681331752754,-274.1570310065679,-1748.4125799331946,-1747.3973296650574,-1746.764890228412
2.6999999999999997,-1746.9436817600858,-1746.7762584339146,-1746.77625843556,-1746.380484340334,-1747.4711585317696,-274.21547643309924,-1748.4010754931937,-1747.4516666678605,-1746.7622085639914
2.9999999999999996,-1746.9263991920282,-1746.761495393982,-1746.4570619484325,-1746.6913496662196,-1747.4912886252796,-274.38567236030013,-1748.394467515665,-1747.49128639411,-1746.691662597997
3.3,-1746.917390411921,-1746.7528779085444,-1746.4826932217024,-1746.711789622481,-1747.5035468475892,-273.9248459855403,-1748.3920755729416,-1746.5632150032843,-1746.7118771595754
3.5999999999999996,-1746.9096826168989,-1746.746290997068,-1746.7288855771249,-1746.7006277459418,-1747.504985282778,,-1748.392837487253,-1747.5018198200357,-1746.700755672976
