distance_A,CASCI_Energy_Ha,DFT_Energy_Ha,HF_Energy_Ha,AVQE_Energy_Ha,Numpy_Energy_Ha,IBMQ_Montreal_Energy_Ha,DFT_Energy_HA,RYRZ_Eneregy_HA,UCCSD_Energy_Ha
0.3,-269.4895345341482,-270.3918009211819,-269.3608507982816,-269.3624252694327,-269.3653902628024,-231.4625472004449,-270.3308067816819,-269.3388841029148,-269.36538990895247
0.6,-301.4731453145974,-302.28149965921233,-301.3353575580158,-301.3485225287836,-301.4219351042439,-266.8191919411193,-302.21680358017744,-300.9758126316465,-301.3524608043424
0.8999999999999999,-305.9007220302577,-306.6199149167386,-305.769281646574,-305.76939702256266,-305.78543157528696,-272.33446153731563,-306.5934658926175,-304.8872807230083,-305.78543092769115
1.2,-307.35326736062655,-307.9212788682678,-307.2129627339839,-307.2238756760063,-307.2296714846027,-274.0642070953662,-307.9868157275382,-306.454918556313,-307.2296714317006
1.5,-307.8127170583904,-308.3424999203784,-307.6730982226277,-307.6833561575903,-307.6869025322069,-273.73619124628453,-308.42617717224175,-307.35891726393845,-307.6869024894761
1.8,-307.9337897222608,-308.4491840126121,-307.79374539747386,-307.78261588255776,-307.78277886682577,-274.24814025928885,-308.54048707852695,-306.4001271102256,-307.78277872067656
2.0999999999999996,-307.9545392224025,-308.46442361914654,-307.8146431017206,-307.80322467839,-307.80344468847215,-274.4410569201074,-308.5608672932239,-307.5395754629824,-307.8034445209186
2.4,-307.9473682381175,-308.4568061858978,-307.80806283225985,-307.7964440932629,-307.7966780257584,-274.1570310065679,-308.55460798688466,-307.5621318290089,-307.7966778694469
2.6999999999999997,-307.93405992348306,-308.4438118886777,-307.79578308830946,-307.78404989943897,-307.7842481527904,-274.21547643309924,-308.5422114862056,-307.5731654594709,-307.78424794564705
2.9999999999999996,-307.92164063047954,-308.4314944129668,-307.7846525467193,-307.77284905821097,-307.7729817204963,-274.38567236030013,-308.53049194964035,-307.57919785337606,-307.77298159196596
3.3,-307.9116049877195,-308.4216137774313,-307.7761662358363,-307.76430985654764,-307.76439073640546,-273.9248459855403,-308.5212675344056,-307.5827563841161,-307.7643906207641
3.5999999999999996,-307.9034917059319,-308.414255451789,-307.77009455719514,-307.7581715596695,-307.75822677657624,,-308.51472280475303,-307.5780251396724,-307.7582259752727
