distance_A,CASCI_Energy_Ha,DFT_Energy_Ha,HF_Energy_Ha,AVQE_Energy_Ha,Numpy_Energy_Ha,IBMQ_Montreal_Energy_Ha,DFT_Energy_HA,RYRZ_Eneregy_HA,UCCSD_Energy_Ha
0.3,-1884.085987458608,-1883.957539058613,-1883.9328134921277,-1883.9076331278754,-1883.9093617509382,-231.4625472004449,-1886.0030852811262,-1883.2451431305929,-1883.909361576338
0.6,-1953.3283539097813,-1953.1615172105453,-1953.199053792805,-1953.177480844024,-1953.180211114724,-266.8191919411193,-1955.3742103115997,-1952.694355248821,-1953.1802107876206
0.8999999999999999,-1961.9579383915357,-1961.6825177716732,-1961.843990373637,-1961.8124301730732,-1961.8130011233916,-272.33446153731563,-1963.9491860629732,-1961.4821313854477,-1961.8130009282054
1.2,-1963.922971173457,-1963.5468517228262,-1963.8132700358967,-1963.7834467098212,-1963.783924356618,-274.0642070953662,-1965.8357028522234,-1963.2636391534068,-1963.7839242089874
1.5,-1964.3799582538682,-1963.9448304217121,-1964.2649020617991,-1964.2372108637915,-1964.2374556601549,-273.73619124628453,-1966.2403517230837,-1963.8038676428591,-1964.2374553493974
1.8,-1964.4605901154,-1963.9950645851814,-1964.342359178438,-1964.3153417580643,-1964.3155422298892,-274.24814025928885,-1966.3003861418229,-1963.872432632038,-1964.3155420713651
2.0999999999999996,-1964.4518532589384,-1963.971851968268,-1964.335356016493,-1964.3089355933018,-1964.3092118554198,-274.4410569201074,-1966.2850950831382,-1963.8628257770295,-1964.3092115996267
2.4,-1964.4280467294552,-1963.9408528124786,-1964.313855721754,-1964.2878742736093,-1964.2880946341052,-274.1570310065679,-1966.2617675822548,-1963.8767594429596,-1964.2880944543458
2.6999999999999997,-1964.3586836829656,-1963.9210247946708,-1964.2943737895175,-1964.2646999690446,-1964.2655105958934,-274.21547643309924,-1966.235688165918,-1964.2649336001386,-1964.2655105381282
2.9999999999999996,-1964.3017022284662,-1964.2800556996842,-1964.2800556996992,-1963.556142840442,-1964.2513211551643,-274.38567236030013,-1966.2440484049491,-1964.1675439414314,-1964.250832002471
3.3,-1964.2918355104923,-1964.2703202280418,-1964.2703202280877,-1963.5419162507114,-1964.2445947862634,-273.9248459855403,-1966.2438227832517,-1964.169122340771,-1964.241978637589
3.5999999999999996,-1964.2852057195703,-1964.2637705753714,-1964.2637705753732,-1963.5817912803464,-1964.2349364913316,,-1966.197309608703,-1963.9435212882436,-1963.9455486638062
