distance_A,CASCI_Energy_Ha,DFT_Energy_Ha,HF_Energy_Ha,AVQE_Energy_Ha,Numpy_Energy_Ha,IBMQ_Montreal_Energy_Ha,DFT_Energy_HA,RYRZ_Eneregy_HA,UCCSD_Energy_Ha
0.3,-1771.9030106926023,-1771.3842463161982,-1771.8984566220888,-1771.8789858669375,-1771.8797557590046,-231.4625472004449,-1773.4937766968887,-1771.1454431708216,-1771.8797556549707
0.6,-1841.515512042796,-1840.9438047746116,-1841.5158318944032,-1841.5139410332881,-1841.5149190939155,-266.8191919411193,-1843.2142411704622,-1840.0555415536792,-1841.5149189569347
0.8999999999999999,-1850.179120030405,-1849.4956391205226,-1850.1795084953808,-1850.1690719812573,-1850.1692071514892,-272.33446153731563,-1851.8266316198194,-1849.3676779766395,-1850.1692071129569
1.2,-1852.1610779523621,-1851.3811911284656,-1852.1611301686276,-1852.1512646145893,-1852.1513621832758,-274.0642070953662,-1853.731908194037,-1851.5824091114089,-1852.1513621266067
1.5,-1852.6139768722092,-1851.7900485584214,-1852.6194600527906,-1852.610662587871,-1852.6107712029998,-273.73619124628453,-1854.1467214615313,-1852.100636286143,-1852.6107710847773
1.8,-1852.6982220035122,-1851.844862762234,-1852.698525393458,-1852.6902545992132,-1852.6903463663314,-274.24814025928885,-1854.2097896930438,-1852.201395999548,-1852.6903463268545
2.0999999999999996,-1852.6916440104371,-1851.8235622701059,-1852.6911113608166,-1852.6836216847398,-1852.6837124988183,-274.4410569201074,-1854.1949811960278,-1852.213400250402,-1852.683712331666
2.4,-1852.6663766811496,-1851.7919055124403,-1852.667332678736,-1852.6601974619257,-1852.6602863372657,-274.1570310065679,-1854.1669753233987,-1852.1976622767415,-1852.6602862714885
2.6999999999999997,-1852.6420196031554,-1851.7641443677767,-1852.6445975431886,-1852.637654276882,-1852.6377482937198,-274.21547643309924,-1854.141615573202,-1849.5163209708196,-1852.6377482706928
2.9999999999999996,-1852.6419728287935,-1852.6269457476785,-1852.6269457476883,-1852.334132162829,-1852.6178334940314,-274.38567236030013,-1854.1224157598908,-1852.5926024012535,-1852.6176860132691
3.3,-1852.6293287334095,-1852.6140949892388,-1852.614094989249,-1852.5901364623,-1852.5902174087064,-273.9248459855403,-1854.1091206938004,-1852.5898123886573,-1852.5902171788123
3.5999999999999996,-1852.6201817283409,-1852.6047844399113,-1852.6047844399368,-1852.3832489838094,-1852.5981570025822,,-1854.1005480193176,-1852.5379169801322,-1852.5949287009962
