distance_A,CASCI_Energy_Ha,DFT_Energy_Ha,HF_Energy_Ha,AVQE_Energy_Ha,Numpy_Energy_Ha,IBMQ_Montreal_Energy_Ha,DFT_Energy_HA,RYRZ_Eneregy_HA,UCCSD_Energy_Ha
0.3,-1814.8575298049789,-1814.4274636678012,-1814.781694639172,-1814.7788923751607,-1814.8214004858994,-231.4625472004449,-1816.4383097817633,-1814.2757926484235,-1814.7873961221542
0.6,-1875.7377389999747,-1875.218214472857,-1875.6036276520924,-1875.604342542135,-1875.6089273955065,-266.8191919411193,-1877.447864349159,-1875.1502084537722,-1875.6089273248729
0.8999999999999999,-1883.4528373980227,-1882.8025870729489,-1883.2762288744675,-1883.27655272432,-1883.278309808969,-272.33446153731563,-1885.1131715991255,-1882.8247263755034,-1883.2783096723024
1.2,-1885.2111937335549,-1884.471916201211,-1885.0478453361923,-1885.0259402291501,-1885.0264249763034,-274.0642070953662,-1886.8064254807548,-1885.0260021293623,-1885.026424739078
1.5,-1885.6644451863592,-1884.8719630434687,-1885.5134341181251,-1885.4952292068135,-1885.4955433713174,-273.73619124628453,-1887.2126883050125,-1885.4952458202572,-1885.4955423179629
1.8,-1885.7684097243978,-1884.943561671023,-1885.6190101182408,-1885.6031593484893,-1885.6035054112422,-274.24814025928885,-1887.2925272221908,-1885.6031913109744,-1885.6035052861714
2.0999999999999996,-1885.7842519599674,-1884.9360676543797,-1885.6286194504612,-1885.613499134299,-1885.6140702034813,-274.4410569201074,-1887.2925669079564,-1885.6135763079433,-1885.6140699609473
2.4,-1885.7722797562305,-1884.9147402835868,-1885.6150079699737,-1885.5998014566899,-1885.6005066283403,-274.1570310065679,-1887.2755954152396,-1885.5993165502898,-1885.6005065240881
2.6999999999999997,-1885.7526707164586,-1884.8937280739017,-1885.5986415344855,-1885.5828616187448,-1885.5834806508751,-274.21547643309924,-1887.2584629725663,-1885.5825414309643,-1885.5834804734532
2.9999999999999996,-1885.733453330331,-1884.8772199296639,-1885.5849676578807,-1885.5683409901828,-1885.5688090483357,-274.38567236030013,-1887.245328156137,-1885.5681716699398,-1885.5688090398571
3.3,-1885.7177644368205,-1884.8662376020964,-1885.5751256548162,-1885.5573773557971,-1885.5576968804826,-273.9248459855403,-1887.237144878997,-1885.5573094294723,-1885.5576968727346
3.5999999999999996,-1885.706184679517,-1884.8599051892445,-1885.5685723379434,-1885.5496278295357,-1885.5498462380044,,-1887.233087552313,-1885.5494775447685,-1885.5498462304638
